IE411,Operating Systems,3-0-2-4,ICT & Technical Elective,AMM,ICTA,6
IE403,Human Computer Interaction,3-0-2-4,"ICT & Technical Elective-MnC Elective",PKS,ICTA,6
IE404,Digital Image Processing,3-0-2-4,ICT & Technical Elective,MK,ICTA,6
SC407,Environmental Science,3-0-0-3,Core,YV,ICTB,6
IE406,Machine Learning,3-0-2-4,ICT & Technical Elective,SM,ICTB,6
IE410,Introduction to Robotics,3-0-2-4,ICT & Technical Elective (RAS minor + Honours),TKM,ICTB,6
IE411,Operating Systems,3-0-2-4,ICT & Technical Elective,AMM,ICTB,6
IE403,Human Computer Interaction,3-0-2-4,"ICT & Technical Elective-MnC Elective",PKS,ICTB,6
IE404,Digital Image Processing,3-0-2-4,ICT & Technical Elective,MK,ICTB,6
SC407,Environmental Science,3-0-0-3,Core,YV,CS,6
IE406,Machine Learning,3-0-2-4,ICT & Technical Elective,SM,CS,6
IE410,Introduction to Robotics,3-0-2-4,ICT & Technical Elective (RAS minor + Honours),TKM,CS,6
IE411,Operating Systems,3-0-2-4,ICT & Technical Elective,AMM,CS,6
IE403,Human Computer Interaction,3-0-2-4,"ICT & Technical Elective-MnC Elective",PKS,CS,6
IE404,Digital Image Processing,3-0-2-4,ICT & Technical Elective,MK,CS,6
CS302,Modeling and Simulation,3-0-3-4.5,Core,AR,CS,6
CS301,High Performance Computing,3-0-3-4.5,Core,BC,CS,6
MC321,Machine Learning,3-0-2-4,Core,PA,MNC,6
